name,date,year,Short Date,month_name,month_number,day_of_month,day_of_week,Weekday/Weekend,Week Number,notes,date_raw
National Bloody Mary Day,2025-01-01,2025,01-01-2025,January,1,1,Wednesday,Weekday,1,,2025-01-01
National Buffet Day,2025-01-02,2025,02-01-2025,January,1,2,Thursday,Weekday,1,,2025-01-02
National Cream Puff Day,2025-01-02,2025,02-01-2025,January,1,2,Thursday,Weekday,1,,2025-01-02
Fruitcake Toss Day,2025-01-03,2025,03-01-2025,January,1,3,Friday,Weekday,1,,2025-01-03
National Chocolate Covered Cherry Day,2025-01-03,2025,03-01-2025,January,1,3,Friday,Weekday,1,,2025-01-03
National Spaghetti Day,2025-01-04,2025,04-01-2025,January,1,4,Saturday,Weekend,1,,2025-01-04
National Whipped Cream Day,2025-01-05,2025,05-01-2025,January,1,5,Sunday,Weekend,1,,2025-01-05
Apple Tree Day,2025-01-06,2025,06-01-2025,January,1,6,Monday,Weekday,2,,2025-01-06
National Bean Day,2025-01-06,2025,06-01-2025,January,1,6,Monday,Weekday,2,,2025-01-06
National Shortbread Day,2025-01-06,2025,06-01-2025,January,1,6,Monday,Weekday,2,,2025-01-06
National Tempura Day,2025-01-07,2025,07-01-2025,January,1,7,Tuesday,Weekday,2,,2025-01-07
National English Toffee Day,2025-01-08,2025,08-01-2025,January,1,8,Wednesday,Weekday,2,,2025-01-08
National Apricot Day,2025-01-09,2025,09-01-2025,January,1,9,Thursday,Weekday,2,,2025-01-09
Bittersweet Chocolate Day,2025-01-10,2025,10-01-2025,January,1,10,Friday,Weekday,2,,2025-01-10
National Milk Day (the day milk deliveries in bottles began in the US),2025-01-11,2025,11-01-2025,January,1,11,Saturday,Weekend,2,,2025-01-11
Curried Chicken Day,2025-01-12,2025,12-01-2025,January,1,12,Sunday,Weekend,2,,2025-01-12
National Marzipan Day,2025-01-12,2025,12-01-2025,January,1,12,Sunday,Weekend,2,,2025-01-12
National Peach Melba Day,2025-01-13,2025,13-01-2025,January,1,13,Monday,Weekday,3,,2025-01-13
National Hot Pastrami Sandwich Day,2025-01-14,2025,14-01-2025,January,1,14,Tuesday,Weekday,3,,2025-01-14
Strawberry Ice Cream Day,2025-01-15,2025,15-01-2025,January,1,15,Wednesday,Weekday,3,,2025-01-15
International Hot & Spicy Food Day,2025-01-16,2025,16-01-2025,January,1,16,Thursday,Weekday,3,,2025-01-16
National Fig Newton Day,2025-01-16,2025,16-01-2025,January,1,16,Thursday,Weekday,3,,2025-01-16
National Bootlegger's Day,2025-01-17,2025,17-01-2025,January,1,17,Friday,Weekday,3,,2025-01-17
National Hot Buttered Rum Day,2025-01-17,2025,17-01-2025,January,1,17,Friday,Weekday,3,,2025-01-17
Peking Duck Day,2025-01-18,2025,18-01-2025,January,1,18,Saturday,Weekend,3,,2025-01-18
National Popcorn Day,2025-01-19,2025,19-01-2025,January,1,19,Sunday,Weekend,3,,2025-01-19
National Buttercrunch Day,2025-01-20,2025,20-01-2025,January,1,20,Monday,Weekday,4,,2025-01-20
National Cheese Lover's Day,2025-01-20,2025,20-01-2025,January,1,20,Monday,Weekday,4,,2025-01-20
National Granola Bar Day,2025-01-21,2025,21-01-2025,January,1,21,Tuesday,Weekday,4,,2025-01-21
New England Clam Chowder Day,2025-01-21,2025,21-01-2025,January,1,21,Tuesday,Weekday,4,,2025-01-21
Rid the World of Fad Diets & Gimmicks Day,2025-01-21,2025,21-01-2025,January,1,21,Tuesday,Weekday,4,,2025-01-21
National Blonde Brownie Day,2025-01-22,2025,22-01-2025,January,1,22,Wednesday,Weekday,4,,2025-01-22
Rhubarb Pie Day,2025-01-23,2025,23-01-2025,January,1,23,Thursday,Weekday,4,,2025-01-23
National Peanut Butter Day,2025-01-24,2025,24-01-2025,January,1,24,Friday,Weekday,4,,2025-01-24
National Irish Coffee Day,2025-01-25,2025,25-01-2025,January,1,25,Saturday,Weekend,4,,2025-01-25
National Peanut Brittle Day,2025-01-26,2025,26-01-2025,January,1,26,Sunday,Weekend,4,,2025-01-26
National Pistachio Day,2025-01-26,2025,26-01-2025,January,1,26,Sunday,Weekend,4,,2025-01-26
Women's Healthy Weight Day,2025-01-26,2025,26-01-2025,January,1,26,Sunday,Weekend,4,The Thursday of the Third Full Week of January,2025-01-26
Chocolate Cake Day,2025-01-27,2025,27-01-2025,January,1,27,Monday,Weekday,5,,2025-01-27
National Blueberry Pancake Day,2025-01-28,2025,28-01-2025,January,1,28,Tuesday,Weekday,5,,2025-01-28
National Corn Chip Day,2025-01-29,2025,29-01-2025,January,1,29,Wednesday,Weekday,5,,2025-01-29
National Croissant Day,2025-01-30,2025,30-01-2025,January,1,30,Thursday,Weekday,5,,2025-01-30
National Hot Chocolate Day,2025-01-31,2025,31-01-2025,January,1,31,Friday,Weekday,5,,2025-01-31
Ice Cream for Breakfast Day,2025-02-01,2025,01-02-2025,February,2,1,Saturday,Weekend,5,First Saturday in February,2025-02-01
National Baked Alaska Day,2025-02-01,2025,01-02-2025,February,2,1,Saturday,Weekend,5,,2025-02-01
Heavenly Hash Day,2025-02-02,2025,02-02-2025,February,2,2,Sunday,Weekend,5,,2025-02-02
National Carrot Cake Day,2025-02-03,2025,03-02-2025,February,2,3,Monday,Weekday,6,,2025-02-03
Homemade Soup Day,2025-02-04,2025,04-02-2025,February,2,4,Tuesday,Weekday,6,,2025-02-04
National Stuffed Mushroom Day,2025-02-04,2025,04-02-2025,February,2,4,Tuesday,Weekday,6,,2025-02-04
National Chocolate Fondue Day,2025-02-05,2025,05-02-2025,February,2,5,Wednesday,Weekday,6,,2025-02-05
World Nutella Day,2025-02-05,2025,05-02-2025,February,2,5,Wednesday,Weekday,6,,2025-02-05
National Chopsticks Day,2025-02-06,2025,06-02-2025,February,2,6,Thursday,Weekday,6,,2025-02-06
Bubble Gum Day,2025-02-07,2025,07-02-2025,February,2,7,Friday,Weekday,6,First Friday in February,2025-02-07
National Fettuccine Alfredo Day,2025-02-07,2025,07-02-2025,February,2,7,Friday,Weekday,6,,2025-02-07
Molasses Bar Day,2025-02-08,2025,08-02-2025,February,2,8,Saturday,Weekend,6,,2025-02-08
National Bagels and Lox Day,2025-02-09,2025,09-02-2025,February,2,9,Sunday,Weekend,6,,2025-02-09
Pizza Pie Day,2025-02-09,2025,09-02-2025,February,2,9,Sunday,Weekend,6,,2025-02-09
Pork Rind Appreciation Day,2025-02-09,2025,09-02-2025,February,2,9,Sunday,Weekend,6,Super Bowl Sunday,2025-02-09
Cream Cheese Brownie Day,2025-02-10,2025,10-02-2025,February,2,10,Monday,Weekday,7,,2025-02-10
Oatmeal Monday,2025-02-10,2025,10-02-2025,February,2,10,Monday,Weekday,7,Second Monday in February,2025-02-10
Peppermint Patty Day,2025-02-11,2025,11-02-2025,February,2,11,Tuesday,Weekday,7,,2025-02-11
National Plum Pudding Day,2025-02-12,2025,12-02-2025,February,2,12,Wednesday,Weekday,7,,2025-02-12
National Tortellini Day,2025-02-13,2025,13-02-2025,February,2,13,Thursday,Weekday,7,,2025-02-13
National Cream Filled Chocolates Day,2025-02-14,2025,14-02-2025,February,2,14,Friday,Weekday,7,,2025-02-14
National Gumdrop Day,2025-02-15,2025,15-02-2025,February,2,15,Saturday,Weekend,7,,2025-02-15
National Almond Day,2025-02-16,2025,16-02-2025,February,2,16,Sunday,Weekend,7,,2025-02-16
National Indian Pudding Day,2025-02-17,2025,17-02-2025,February,2,17,Monday,Weekday,8,,2025-02-17
National Drink Wine Day,2025-02-18,2025,18-02-2025,February,2,18,Tuesday,Weekday,8,,2025-02-18
National Chocolate Mint Day,2025-02-19,2025,19-02-2025,February,2,19,Wednesday,Weekday,8,,2025-02-19
National Cherry Pie Day,2025-02-20,2025,20-02-2025,February,2,20,Thursday,Weekday,8,,2025-02-20
National Sticky Bun Day,2025-02-21,2025,21-02-2025,February,2,21,Friday,Weekday,8,,2025-02-21
National Margarita Day,2025-02-22,2025,22-02-2025,February,2,22,Saturday,Weekend,8,,2025-02-22
National Cook a Sweet Potato Day,2025-02-22,2025,22-02-2025,February,2,22,Saturday,Weekend,8,,2025-02-22
National Banana Bread Day,2025-02-23,2025,23-02-2025,February,2,23,Sunday,Weekend,8,,2025-02-23
National Cupcake Day (in Canada),2025-02-24,2025,24-02-2025,February,2,24,Monday,Weekday,9,,2025-02-24
National Tortilla Chip Day,2025-02-24,2025,24-02-2025,February,2,24,Monday,Weekday,9,,2025-02-24
National Chocolate Covered Nuts Day,2025-02-25,2025,25-02-2025,February,2,25,Tuesday,Weekday,9,,2025-02-25
National Clam Chowder Day,2025-02-25,2025,25-02-2025,February,2,25,Tuesday,Weekday,9,,2025-02-25
National Pancake Day (IHOP),2025-02-25,2025,25-02-2025,February,2,25,Tuesday,Weekday,9,,2025-02-25
National Personal Chefs Day,2025-02-26,2025,26-02-2025,February,2,26,Wednesday,Weekday,9,,2025-02-26
National Pistachio Day,2025-02-26,2025,26-02-2025,February,2,26,Wednesday,Weekday,9,,2025-02-26
National Chili Day,2025-02-27,2025,27-02-2025,February,2,27,Thursday,Weekday,9,Last Thursday in February,2025-02-27
National Strawberry Day,2025-02-27,2025,27-02-2025,February,2,27,Thursday,Weekday,9,,2025-02-27
National Chocolate Souffle Day,2025-02-28,2025,28-02-2025,February,2,28,Friday,Weekday,9,,2025-02-28
Surf and Turf Day,2025-02-28,2025,28-02-2025,February,2,28,Friday,Weekday,9,,2025-02-28
National Fruit Compote Day,2025-03-01,2025,01-03-2025,March,3,1,Saturday,Weekend,9,,2025-03-01
National Peanut Butter Lover's Day,2025-03-01,2025,01-03-2025,March,3,1,Saturday,Weekend,9,,2025-03-01
National Banana Cream Pie Day,2025-03-02,2025,02-03-2025,March,3,2,Sunday,Weekend,9,,2025-03-02
National Cold Cuts Day,2025-03-03,2025,03-03-2025,March,3,3,Monday,Weekday,10,,2025-03-03
National Pound Cake Day,2025-03-04,2025,04-03-2025,March,3,4,Tuesday,Weekday,10,,2025-03-04
National Cheese Doodle Day,2025-03-05,2025,05-03-2025,March,3,5,Wednesday,Weekday,10,,2025-03-05
National Frozen Food Day,2025-03-06,2025,06-03-2025,March,3,6,Thursday,Weekday,10,,2025-03-06
National Oreo Cookie Day,2025-03-06,2025,06-03-2025,March,3,6,Thursday,Weekday,10,,2025-03-06
National White Chocolate Cheesecake Day,2025-03-06,2025,06-03-2025,March,3,6,Thursday,Weekday,10,,2025-03-06
National Cereal Day,2025-03-07,2025,07-03-2025,March,3,7,Friday,Weekday,10,,2025-03-07
National Tartar Sauce Day,2025-03-07,2025,07-03-2025,March,3,7,Friday,Weekday,10,First Friday during Lent,2025-03-07
National Peanut Cluster Day,2025-03-08,2025,08-03-2025,March,3,8,Saturday,Weekend,10,,2025-03-08
National Crabmeat Day,2025-03-09,2025,09-03-2025,March,3,9,Sunday,Weekend,10,,2025-03-09
National Meatball Day,2025-03-09,2025,09-03-2025,March,3,9,Sunday,Weekend,10,,2025-03-09
National Blueberry Popover Day,2025-03-10,2025,10-03-2025,March,3,10,Monday,Weekday,11,,2025-03-10
National Pack Your Lunch Day,2025-03-10,2025,10-03-2025,March,3,10,Monday,Weekday,11,,2025-03-10
Oatmeal Nut Waffles Day,2025-03-11,2025,11-03-2025,March,3,11,Tuesday,Weekday,11,,2025-03-11
National Baked Scallops Day,2025-03-12,2025,12-03-2025,March,3,12,Wednesday,Weekday,11,,2025-03-12
Registered Dietitian Day,2025-03-12,2025,12-03-2025,March,3,12,Wednesday,Weekday,11,Second Wednesday in March,2025-03-12
Coconut Torte Day,2025-03-13,2025,13-03-2025,March,3,13,Thursday,Weekday,11,,2025-03-13
Popcorn Lover's Day,2025-03-13,2025,13-03-2025,March,3,13,Thursday,Weekday,11,Second Thursday in March,2025-03-13
Bake a Pie in Solidarity Day,2025-03-14,2025,14-03-2025,March,3,14,Friday,Weekday,11,,2025-03-14
National Potato Chip Day,2025-03-14,2025,14-03-2025,March,3,14,Friday,Weekday,11,,2025-03-14
Celebrating Our Bountiful Food Supply,2025-03-15,2025,15-03-2025,March,3,15,Saturday,Weekend,11,,2025-03-15
Maple Syrup Saturday,2025-03-15,2025,15-03-2025,March,3,15,Saturday,Weekend,11,Third Saturday of March,2025-03-15
National Peanut Lovers� Day,2025-03-15,2025,15-03-2025,March,3,15,Saturday,Weekend,11,,2025-03-15
National Pears Helene Day,2025-03-15,2025,15-03-2025,March,3,15,Saturday,Weekend,11,,2025-03-15
National Artichoke Hearts Day,2025-03-16,2025,16-03-2025,March,3,16,Sunday,Weekend,11,,2025-03-16
National Irish Food Day,2025-03-17,2025,17-03-2025,March,3,17,Monday,Weekday,12,,2025-03-17
Oatmeal Cookie Day,2025-03-18,2025,18-03-2025,March,3,18,Tuesday,Weekday,12,,2025-03-18
National Agriculture Day,2025-03-19,2025,19-03-2025,March,3,19,Wednesday,Weekday,12,,2025-03-19
National Chocolate Caramel Day,2025-03-19,2025,19-03-2025,March,3,19,Wednesday,Weekday,12,,2025-03-19
National Poultry Day,2025-03-19,2025,19-03-2025,March,3,19,Wednesday,Weekday,12,,2025-03-19
Great American MEAT OUT,2025-03-20,2025,20-03-2025,March,3,20,Thursday,Weekday,12,,2025-03-20
National Ravioli Day,2025-03-20,2025,20-03-2025,March,3,20,Thursday,Weekday,12,,2025-03-20
California Strawberry Day,2025-03-21,2025,21-03-2025,March,3,21,Friday,Weekday,12,,2025-03-21
National French Bread Day,2025-03-21,2025,21-03-2025,March,3,21,Friday,Weekday,12,,2025-03-21
National Bavarian Crepes Day,2025-03-22,2025,22-03-2025,March,3,22,Saturday,Weekend,12,,2025-03-22
National Chip and Dip Day,2025-03-23,2025,23-03-2025,March,3,23,Sunday,Weekend,12,,2025-03-23
National Melba Toast Day,2025-03-23,2025,23-03-2025,March,3,23,Sunday,Weekend,12,,2025-03-23
National Cheesesteak Day,2025-03-24,2025,24-03-2025,March,3,24,Monday,Weekday,13,,2025-03-24
National Chocolate Covered Raisin Day,2025-03-24,2025,24-03-2025,March,3,24,Monday,Weekday,13,,2025-03-24
International Waffle Day,2025-03-25,2025,25-03-2025,March,3,25,Tuesday,Weekday,13,,2025-03-25
National Lobster Newburg Day,2025-03-25,2025,25-03-2025,March,3,25,Tuesday,Weekday,13,,2025-03-25
National Pecan Day,2025-03-25,2025,25-03-2025,March,3,25,Tuesday,Weekday,13,,2025-03-25
National Nougat Day,2025-03-26,2025,26-03-2025,March,3,26,Wednesday,Weekday,13,,2025-03-26
Spinach Day,2025-03-26,2025,26-03-2025,March,3,26,Wednesday,Weekday,13,,2025-03-26
Whole Grain Sampling Day,2025-03-26,2025,26-03-2025,March,3,26,Wednesday,Weekday,13,Last Wednesday in March,2025-03-26
National Spanish Paella Day,2025-03-27,2025,27-03-2025,March,3,27,Thursday,Weekday,13,,2025-03-27
Something on a Stick Day,2025-03-28,2025,28-03-2025,March,3,28,Friday,Weekday,13,,2025-03-28
National Lemon Chiffon Cake Day,2025-03-29,2025,29-03-2025,March,3,29,Saturday,Weekend,13,,2025-03-29
Turkey Neck Soup Day,2025-03-30,2025,30-03-2025,March,3,30,Sunday,Weekend,13,,2025-03-30
National Clams on the Half Shell Day,2025-03-31,2025,31-03-2025,March,3,31,Monday,Weekday,14,,2025-03-31
Oranges and Lemons Day,2025-03-31,2025,31-03-2025,March,3,31,Monday,Weekday,14,,2025-03-31
Tater Day,2025-03-31,2025,31-03-2025,March,3,31,Monday,Weekday,14,,2025-03-31
National Sourdough Bread Day,2025-04-01,2025,01-04-2025,April,4,1,Tuesday,Weekday,14,,2025-04-01
National Love Your Produce Manager Day,2025-04-02,2025,02-04-2025,April,4,2,Wednesday,Weekday,14,,2025-04-02
National Peanut Butter and Jelly Day,2025-04-02,2025,02-04-2025,April,4,2,Wednesday,Weekday,14,,2025-04-02
National Burrito Day,2025-04-03,2025,03-04-2025,April,4,3,Thursday,Weekday,14,First Thursday in April,2025-04-03
National Chocolate Mousse Day,2025-04-03,2025,03-04-2025,April,4,3,Thursday,Weekday,14,,2025-04-03
National Cordon Bleu Day,2025-04-04,2025,04-04-2025,April,4,4,Friday,Weekday,14,,2025-04-04
National Caramel Day,2025-04-05,2025,05-04-2025,April,4,5,Saturday,Weekend,14,,2025-04-05
National Raisin and Spice Bar Day,2025-04-05,2025,05-04-2025,April,4,5,Saturday,Weekend,14,,2025-04-05
Hostess Twinkie Day,2025-04-06,2025,06-04-2025,April,4,6,Sunday,Weekend,14,,2025-04-06
National Caramel Popcorn Day,2025-04-06,2025,06-04-2025,April,4,6,Sunday,Weekend,14,,2025-04-06
Coffee Cake Day,2025-04-07,2025,07-04-2025,April,4,7,Monday,Weekday,15,,2025-04-07
National Empanada Day,2025-04-08,2025,08-04-2025,April,4,8,Tuesday,Weekday,15,,2025-04-08
Chinese Almond Cookie Day,2025-04-09,2025,09-04-2025,April,4,9,Wednesday,Weekday,15,,2025-04-09
National Gin and Tonic Day,2025-04-09,2025,09-04-2025,April,4,9,Wednesday,Weekday,15,,2025-04-09
National Cinnamon Crescent Day,2025-04-10,2025,10-04-2025,April,4,10,Thursday,Weekday,15,,2025-04-10
National Cheese Fondue Day,2025-04-11,2025,11-04-2025,April,4,11,Friday,Weekday,15,,2025-04-11
National Poutine Day,2025-04-11,2025,11-04-2025,April,4,11,Friday,Weekday,15,,2025-04-11
Grilled Cheese Sandwich Day,2025-04-12,2025,12-04-2025,April,4,12,Saturday,Weekend,15,,2025-04-12
National Licorice Day,2025-04-12,2025,12-04-2025,April,4,12,Saturday,Weekend,15,,2025-04-12
Make Lunch Count Day,2025-04-13,2025,13-04-2025,April,4,13,Sunday,Weekend,15,,2025-04-13
National Peach Cobbler Day,2025-04-13,2025,13-04-2025,April,4,13,Sunday,Weekend,15,,2025-04-13
National Pecan Day,2025-04-14,2025,14-04-2025,April,4,14,Monday,Weekday,16,,2025-04-14
McDonald's Day,2025-04-15,2025,15-04-2025,April,4,15,Tuesday,Weekday,16,,2025-04-15
National Glazed Spiral Ham Day,2025-04-15,2025,15-04-2025,April,4,15,Tuesday,Weekday,16,,2025-04-15
Day of the Mushroom,2025-04-16,2025,16-04-2025,April,4,16,Wednesday,Weekday,16,,2025-04-16
National Eggs Benedict Day,2025-04-16,2025,16-04-2025,April,4,16,Wednesday,Weekday,16,,2025-04-16
National Cheeseball Day,2025-04-17,2025,17-04-2025,April,4,17,Thursday,Weekday,16,,2025-04-17
Animal Crackers Birthday,2025-04-18,2025,18-04-2025,April,4,18,Friday,Weekday,16,,2025-04-18
Garlic Day,2025-04-19,2025,19-04-2025,April,4,19,Saturday,Weekend,16,,2025-04-19
Lima Bean Respect Day,2025-04-20,2025,20-04-2025,April,4,20,Sunday,Weekend,16,,2025-04-20
National Baked Ham with Pineapple Day,2025-04-20,2025,20-04-2025,April,4,20,Sunday,Weekend,16,Same Day as Easter,2025-04-20
National Pineapple Upside Down Cake Day,2025-04-20,2025,20-04-2025,April,4,20,Sunday,Weekend,16,,2025-04-20
National Chickpea Day,2025-04-21,2025,21-04-2025,April,4,21,Monday,Weekday,17,,2025-04-21
